State,cites/town,Type,ICSEA Ratio,Count
NSW,Sydney,Primary,Average,859
NSW,Sydney,Combined,Higher ,289
NSW,Sydney,Secondary,Higher ,288
NSW,Newcastle-Maitland,Primary,Higher ,123
NSW,Wollongong City Council,Primary,Average,60
WA,Joondalup,Primary,Average,32
NSW,Newcastle-Maitland,Secondary,Average,30
NSW,Gosford,Primary,Higher ,29
NSW,Newcastle-Maitland,Combined,Higher ,26
NSW,Wagga Wagga City Council,Primary,Higher ,24
WA,Joondalup,Combined,Average,17
NSW,Wollongong City Council,Secondary,Average,15
NSW,Port Macquarie,Primary,Higher ,14
NSW,Albury,Primary,Average,13
NSW,Dubbo,Primary,Average,13
NSW,Gosford,Combined,Average,13
WA,Geraldton,Combined,Average,11
NSW,Tamworth,Primary,Average,11
NSW,Coffs Harbour,Primary,Higher ,10
NSW,Gosford,Secondary,Average,10
NSW,Grafton,Primary,Higher ,10
NSW,Wollongong City Council,Combined,Average,10
NSW,Bathurst,Primary,Average,9
NSW,Goulburn,Primary,Average,9
NSW,Armidale,Primary,Average,8
NSW,Broken Hill,Primary,Higher ,8
WA,Geraldton,Primary,Higher ,8
NSW,Orange,Primary,Higher ,8
NSW,Armidale,Combined,Average,7
WA,Baldivis,Primary,Higher ,7
WA,Bunbury,Combined,Average,7
WA,Bunbury,Primary,Average,7
WA,Claremont,Combined,Average,7
WA,Griffith,Primary,Higher ,7
WA,Joondalup,Secondary,Average,7
NSW,Queanbeyan,Primary,Higher ,7
NSW,Taree,Primary,Higher ,7
NSW,Albury,Combined,Average,6
WA,Byford,Primary,Higher ,6
WA,Dianella,Combined,Average,6
NSW,Dubbo,Secondary,Average,6
NSW,Dungog,Primary,Higher ,6
WA,Kalgoorlie,Primary,Higher ,6
WA,Merriwa,Primary,Higher ,6
WA,Mosman Park,Combined,Higher ,6
NSW,Murwillumbah,Combined,Average,6
NSW,Orange,Combined,Higher ,6
NSW,Wagga Wagga City Council,Secondary,Average,6
WA,Armadale,Primary,Higher ,5
WA,Australind,Primary,Average,5
NSW,Bulahdelah,Primary,Average,5
WA,Canning Vale,Primary,Average,5
NSW,Cooma,Combined,Average,5
NSW,Deniliquin,Primary,Average,5
WA,Ellenbrook,Combined,Average,5
WA,Ellenbrook,Primary,Higher ,5
NSW,Griffith City Council,Primary,Average,5
NSW,Newcastle,Primary,Average,5
WA,Rockingham,Combined,Higher ,5
NSW,Tamworth,Secondary,Average,5
WA,Thornlie,Primary,Higher ,5
NSW,Tweed Heads,Primary,Average,5
WA,Alkimos,Combined,Average,4
NSW,Alstonville,Primary,Average,4
WA,Baldivis,Combined,Average,4
NSW,Bathurst,Combined,Average,4
NSW,Bowral,Combined,Average,4
NSW,Coffs Harbour,Combined,Average,4
NSW,Coffs Harbour,Secondary,Higher ,4
NSW,Culcairn,Primary,Average,4
WA,Dianella,Primary,Average,4
NSW,Dubbo,Combined,Average,4
NSW,Forbes,Primary,Average,4
WA,Forrestfield,Combined,Average,4
NSW,Gloucester,Primary,Higher ,4
NSW,Goonellabah,Combined,Average,4
WA,Gosnells,Primary,Higher ,4
NSW,Grafton,Secondary,Average,4
WA,Hamilton Hill,Combined,Higher ,4
NSW,Junee,Primary,Average,4
WA,Kalgoorlie,Combined,Average,4
NSW,Laurieton,Primary,Average,4
NSW,Leeton,Primary,Average,4
NSW,Lithgow,Primary,Higher ,4
WA,Mindarie,Combined,Average,4
WA,Mount Claremont,Combined,Average,4
WA,Mount Lawley,Combined,Average,4
NSW,Mullumbimby,Combined,Average,4
NSW,Muswellbrook,Primary,Average,4
NSW,Parkes,Primary,Higher ,4
NSW,Port Macquarie,Secondary,Average,4
WA,Singleton,Primary,Higher ,4
NSW,Tamworth,Combined,Average,4
WA,Victoria Park,Combined,Average,4
NSW,Wagga Wagga City Council,Combined,Average,4
NSW,Warialda,Primary,Higher ,4
WA,Wellard,Combined,Average,4
NSW,Woodburn,Primary,Average,4
WA,Yakamia,Combined,Average,4
NSW,Albion Park,Primary,Average,3
NSW,Albury,Secondary,Average,3
WA,Armadale,Combined,Higher ,3
NSW,Armidale,Secondary,Higher ,3
WA,Balcatta,Primary,Average,3
WA,Balga,Primary,Higher ,3
WA,Ballajura,Primary,Higher ,3
WA,Bassendean,Primary,Average,3
NSW,Bathurst,Secondary,Average,3
WA,Beechboro,Primary,Higher ,3
NSW,Bega,Combined,Average,3
NSW,Bega,Primary,Average,3
NSW,Bourke,Primary,Lower,3
NSW,Bowraville,Primary,Average,3
NSW,Braidwood,Combined,Average,3
WA,Broome,Combined,Higher ,3
WA,Bunbury,Secondary,Higher ,3
WA,Busselton,Combined,Average,3
WA,Busselton,Primary,Higher ,3
WA,Butler,Combined,Average,3
NSW,Casino,Primary,Average,3
NSW,Cessnock,Primary,Average,3
WA,Collie,Primary,Higher ,3
NSW,Cootamundra,Primary,Average,3
NSW,Corowa,Primary,Higher ,3
NSW,Cowra,Primary,Higher ,3
WA,Esperance,Combined,Average,3
WA,Esperance,Primary,Higher ,3
WA,Forrestfield,Primary,Higher ,3
WA,Fremantle,Combined,Average,3
WA,Girrawheen,Combined,Higher ,3
NSW,Gunnedah,Primary,Average,3
NSW,Guyra,Primary,Higher ,3
WA,Halls Head,Primary,Average,3
WA,Hamilton Hill,Primary,Higher ,3
NSW,Inverell,Primary,Average,3
NSW,Inverell,Secondary,Higher ,3
NSW,Jerilderie,Primary,Average,3
WA,Karrinyup,Combined,Average,3
WA,Kelmscott,Primary,Higher ,3
WA,Kenwick,Combined,Average,3
WA,Landsdale,Combined,Higher ,3
WA,Langford,Combined,Average,3
WA,Leeming,Primary,Average,3
WA,Lesmurdie,Combined,Average,3
NSW,Lismore,Primary,Average,3
NSW,Maclean,Primary,Average,3
WA,Maddington,Primary,Higher ,3
WA,Meadow Springs,Combined,Average,3
WA,Middle Swan,Combined,Average,3
WA,Midland,Combined,Higher ,3
NSW,Mittagong,Primary,Average,3
NSW,Moree,Combined,Average,3
NSW,Moree,Primary,Average,3
WA,Morley,Primary,Average,3
NSW,Mudgee,Primary,Higher ,3
NSW,Mullumbimby,Primary,Average,3
WA,Mundaring,Combined,Average,3
NSW,Mungindi,Primary,Average,3
NSW,Murwillumbah,Primary,Average,3
NSW,Nambucca Heads,Primary,Higher ,3
NSW,Narrabri,Primary,Average,3
NSW,Narrandera,Primary,Average,3
NSW,Narromine,Primary,Higher ,3
WA,Noranda,Primary,Average,3
WA,Northam,Primary,Higher ,3
NSW,Nowra,Primary,Average,3
NSW,Nowra,Secondary,Average,3
NSW,Oak Flats,Combined,Average,3
NSW,Orange,Secondary,Average,3
WA,Perth,Combined,Average,3
NSW,Picton,Primary,Higher ,3
WA,Port Kennedy,Primary,Higher ,3
NSW,Quirindi,Primary,Average,3
WA,Rivervale,Combined,Higher ,3
NSW,Scone,Primary,Average,3
WA,South Hedland,Primary,Lower,3
WA,South Perth,Combined,Average,3
WA,Southern River,Combined,Average,3
WA,Spearwood,Primary,Higher ,3
NSW,Swansea,Primary,Average,3
NSW,Taree,Secondary,Higher ,3
NSW,Temora,Primary,Higher ,3
NSW,Toormina,Primary,Average,3
NSW,Wauchope,Primary,Average,3
WA,Wembley,Combined,Higher ,3
WA,Wembley,Primary,Average,3
NSW,Wentworth,Primary,Higher ,3
WA,Willetton,Primary,Average,3
NSW,Wingham,Primary,Higher ,3
NSW,Woolgoolga,Primary,Average,3
NSW,Wyong,Combined,Average,3
WA,Yangebup,Combined,Average,3
NSW,Yass,Primary,Average,3
NSW,Young,Primary,Average,3
NSW,Adelong,Primary,Average,2
NSW,Albion Park,Secondary,Average,2
WA,Applecross,Combined,Average,2
WA,Attadale,Combined,Average,2
WA,Atwell,Primary,Average,2
WA,Australind,Combined,Higher ,2
WA,Aveley,Combined,Average,2
WA,Aveley,Primary,Lower,2
WA,Balgo,Combined,Lower,2
NSW,Ballina,Combined,Average,2
NSW,Ballina,Primary,Average,2
NSW,Balranald,Primary,Higher ,2
WA,Banksia Grove,Primary,Higher ,2
NSW,Baradine,Primary,Average,2
NSW,Barraba,Primary,Higher ,2
NSW,Bateau Bay,Primary,Average,2
NSW,Batlow,Primary,Average,2
WA,Bayswater,Primary,Average,2
WA,Beaconsfield,Primary,Average,2
WA,Bedfordale,Combined,Average,2
WA,Beeliar,Primary,Average,2
