,NSW Cities,Average BE Score,Type,Total School
0,Sydney,83.41581259150806,Primary,859
1,Sydney,83.87603305785125,Combined,289
2,Sydney,79.66312056737588,Secondary,288
3,Newcastle-Maitland,82.81372549019608,Primary,123
4,Wollongong City Council,82.95744680851064,Primary,60
5,Newcastle-Maitland,71.37931034482759,Secondary,30
6,Gosford,82.36,Primary,29
7,Newcastle-Maitland,78.3,Combined,26
8,Wagga Wagga City Council,81.70588235294117,Primary,24
9,Wollongong City Council,72.46666666666667,Secondary,15
10,Port Macquarie,83.66666666666667,Primary,14
11,Albury,80.11111111111111,Primary,13
12,Dubbo,83.0,Primary,13
13,Gosford,88.66666666666667,Combined,13
14,Tamworth,84.0,Primary,11
15,Coffs Harbour,80.11111111111111,Primary,10
16,Gosford,78.9,Secondary,10
17,Grafton,79.88888888888889,Primary,10
18,Wollongong City Council,89.8,Combined,10
19,Bathurst,74.8,Primary,9
20,Goulburn,77.88888888888889,Primary,9
21,Armidale,80.25,Primary,8
22,Broken Hill,80.5,Primary,8
23,Orange,79.2,Primary,8
24,Armidale,92.42857142857143,Combined,7
25,Queanbeyan,76.2,Primary,7
26,Taree,81.85714285714286,Primary,7
27,Albury,91.66666666666667,Combined,6
28,Dubbo,66.66666666666667,Secondary,6
29,Dungog,79.8,Primary,6
